"dataset size","Random_basic - _step","Random_basic - _step__MIN","Random_basic - _step__MAX","Random_basic - basic_log_likelihood","Random_basic - basic_log_likelihood__MIN","Random_basic - basic_log_likelihood__MAX","BIC_basic - _step","BIC_basic - _step__MIN","BIC_basic - _step__MAX","BIC_basic - basic_log_likelihood","BIC_basic - basic_log_likelihood__MIN","BIC_basic - basic_log_likelihood__MAX","ChowLiu_basic - _step","ChowLiu_basic - _step__MIN","ChowLiu_basic - _step__MAX","ChowLiu_basic - basic_log_likelihood","ChowLiu_basic - basic_log_likelihood__MIN","ChowLiu_basic - basic_log_likelihood__MAX"
"15000","38","38","38","-5758.25048828125","-5758.25048828125","-5758.25048828125","38","38","38","-2558.830810546875","-2558.830810546875","-2558.830810546875","38","38","38","-2658.62109375","-2658.62109375","-2658.62109375"
"20000","39","39","39","-7276.14208984375","-7276.14208984375","-7276.14208984375","39","39","39","-3405.502685546875","-3405.502685546875","-3405.502685546875","39","39","39","-3578.78759765625","-3578.78759765625","-3578.78759765625"
"25000","40","40","40","-9467.9921875","-9467.9921875","-9467.9921875","40","40","40","-4317.693359375","-4317.693359375","-4317.693359375","40","40","40","-4472.76416015625","-4472.76416015625","-4472.76416015625"
"30000","41","41","41","-11383.986328125","-11383.986328125","-11383.986328125","41","41","41","-5025.31201171875","-5025.31201171875","-5025.31201171875","41","41","41","-5387.73486328125","-5387.73486328125","-5387.73486328125"
"35000","42","42","42","-13056.0419921875","-13056.0419921875","-13056.0419921875","42","42","42","-5771.1337890625","-5771.1337890625","-5771.1337890625","42","42","42","-6409.55078125","-6409.55078125","-6409.55078125"
"40000","43","43","43","-14678.8828125","-14678.8828125","-14678.8828125","43","43","43","-6549.08837890625","-6549.08837890625","-6549.08837890625","43","43","43","-7212.80078125","-7212.80078125","-7212.80078125"
"45000","44","44","44","-16325.560546875","-16325.560546875","-16325.560546875","44","44","44","-7517.68505859375","-7517.68505859375","-7517.68505859375","44","44","44","-8094.5458984375","-8094.5458984375","-8094.5458984375"
"50000","45","45","45","-16733.0078125","-16733.0078125","-16733.0078125","45","45","45","-8205.1943359375","-8205.1943359375","-8205.1943359375","45","45","45","-8965.515625","-8965.515625","-8965.515625"
"55000","46","46","46","-17524.576171875","-17524.576171875","-17524.576171875","46","46","46","-8801.70703125","-8801.70703125","-8801.70703125","46","46","46","-9698.1982421875","-9698.1982421875","-9698.1982421875"
"60000","47","47","47","-21585.31640625","-21585.31640625","-21585.31640625","47","47","47","-10008.275390625","-10008.275390625","-10008.275390625","47","47","47","-10806.0234375","-10806.0234375","-10806.0234375"
"65000","48","48","48","-24112.060546875","-24112.060546875","-24112.060546875","48","48","48","-10849.318359375","-10849.318359375","-10849.318359375","48","48","48","-11602.62890625","-11602.62890625","-11602.62890625"
"70000","49","49","49","-26191.923828125","-26191.923828125","-26191.923828125","49","49","49","-11736.587890625","-11736.587890625","-11736.587890625","49","49","49","-12725.349609375","-12725.349609375","-12725.349609375"
"75000","50","50","50","-28755.130859375","-28755.130859375","-28755.130859375","50","50","50","-12439.103515625","-12439.103515625","-12439.103515625","50","50","50","-13539.955078125","-13539.955078125","-13539.955078125"
"80000","51","51","51","-30676.05859375","-30676.05859375","-30676.05859375","51","51","51","-13148.193359375","-13148.193359375","-13148.193359375","51","51","51","-14375.9423828125","-14375.9423828125","-14375.9423828125"
"85000","52","52","52","-30832.53125","-30832.53125","-30832.53125","52","52","52","-13895.544921875","-13895.544921875","-13895.544921875","52","52","52","-15296.669921875","-15296.669921875","-15296.669921875"
"90000","53","53","53","-33186.8125","-33186.8125","-33186.8125","53","53","53","-14954.416015625","-14954.416015625","-14954.416015625","53","53","53","-16080.203125","-16080.203125","-16080.203125"
"95000","54","54","54","-34427.4609375","-34427.4609375","-34427.4609375","54","54","54","-15848.5439453125","-15848.5439453125","-15848.5439453125","54","54","54","-17048.853515625","-17048.853515625","-17048.853515625"
"100000","55","55","55","-34029.203125","-34029.203125","-34029.203125","55","55","55","-16242.203125","-16242.203125","-16242.203125","55","55","55","-17981.576171875","-17981.576171875","-17981.576171875"
"105000","56","56","56","-35745.1484375","-35745.1484375","-35745.1484375","56","56","56","-17169.798828125","-17169.798828125","-17169.798828125","56","56","56","-18885.107421875","-18885.107421875","-18885.107421875"
