"dataset size","Random - _step","Random - _step__MIN","Random - _step__MAX","Random - log_likelihood","Random - log_likelihood__MIN","Random - log_likelihood__MAX","K2 - _step","K2 - _step__MIN","K2 - _step__MAX","K2 - log_likelihood","K2 - log_likelihood__MIN","K2 - log_likelihood__MAX","ChowLiu - _step","ChowLiu - _step__MIN","ChowLiu - _step__MAX","ChowLiu - log_likelihood","ChowLiu - log_likelihood__MIN","ChowLiu - log_likelihood__MAX","BDs - _step","BDs - _step__MIN","BDs - _step__MAX","BDs - log_likelihood","BDs - log_likelihood__MIN","BDs - log_likelihood__MAX","BIC - _step","BIC - _step__MIN","BIC - _step__MAX","BIC - log_likelihood","BIC - log_likelihood__MIN","BIC - log_likelihood__MAX"
"4500","26","26","26","-26378.359375","-26378.359375","-26378.359375","26","26","26","-21632.5","-21632.5","-21632.5","26","26","26","-21674.009765625","-21674.009765625","-21674.009765625","26","26","26","-21390.64453125","-21390.64453125","-21390.64453125","26","26","26","-18755.30859375","-18755.30859375","-18755.30859375"
"5000","27","27","27","-29323.77734375","-29323.77734375","-29323.77734375","27","27","27","-24097.62109375","-24097.62109375","-24097.62109375","27","27","27","-23974.41796875","-23974.41796875","-23974.41796875","27","27","27","-23715.083984375","-23715.083984375","-23715.083984375","27","27","27","-20821.291015625","-20821.291015625","-20821.291015625"
"5500","28","28","28","-32333.98828125","-32333.98828125","-32333.98828125","28","28","28","-26334.615234375","-26334.615234375","-26334.615234375","28","28","28","-26292.162109375","-26292.162109375","-26292.162109375","28","28","28","-25885.224609375","-25885.224609375","-25885.224609375","28","28","28","-23341.95703125","-23341.95703125","-23341.95703125"
"6000","29","29","29","-35041.1875","-35041.1875","-35041.1875","29","29","29","-28690.087890625","-28690.087890625","-28690.087890625","29","29","29","-28575.32421875","-28575.32421875","-28575.32421875","29","29","29","-28187.333984375","-28187.333984375","-28187.333984375","29","29","29","-24749.216796875","-24749.216796875","-24749.216796875"
"6500","30","30","30","-38288.9375","-38288.9375","-38288.9375","30","30","30","-30985.724609375","-30985.724609375","-30985.724609375","30","30","30","-31199.244140625","-31199.244140625","-31199.244140625","30","30","30","-30632.44921875","-30632.44921875","-30632.44921875","30","30","30","-26898.10546875","-26898.10546875","-26898.10546875"
"7000","31","31","31","-41559.640625","-41559.640625","-41559.640625","31","31","31","-33059.4609375","-33059.4609375","-33059.4609375","31","31","31","-33451.65234375","-33451.65234375","-33451.65234375","31","31","31","-32716.78125","-32716.78125","-32716.78125","31","31","31","-30867.078125","-30867.078125","-30867.078125"
"7500","32","32","32","-43078.51171875","-43078.51171875","-43078.51171875","32","32","32","-35432.45703125","-35432.45703125","-35432.45703125","32","32","32","-35948.19921875","-35948.19921875","-35948.19921875","32","32","32","-35027.57421875","-35027.57421875","-35027.57421875","32","32","32","-34876.8984375","-34876.8984375","-34876.8984375"
"8000","33","33","33","-47340.0546875","-47340.0546875","-47340.0546875","33","33","33","-37581.9765625","-37581.9765625","-37581.9765625","33","33","33","-38351.1171875","-38351.1171875","-38351.1171875","33","33","33","-37281","-37281","-37281","33","33","33","-36861.86328125","-36861.86328125","-36861.86328125"
"8500","34","34","34","-49632.52734375","-49632.52734375","-49632.52734375","34","34","34","-39842.5703125","-39842.5703125","-39842.5703125","34","34","34","-40848.74609375","-40848.74609375","-40848.74609375","34","34","34","-39663.8515625","-39663.8515625","-39663.8515625","34","34","34","-38896.10546875","-38896.10546875","-38896.10546875"
"9000","35","35","35","-52084.5859375","-52084.5859375","-52084.5859375","35","35","35","-42276.09375","-42276.09375","-42276.09375","35","35","35","-42740.7265625","-42740.7265625","-42740.7265625","35","35","35","-41715.65625","-41715.65625","-41715.65625","35","35","35","-41016.29296875","-41016.29296875","-41016.29296875"
